date,harrypotterlexicon
18/11/2016,0
19/11/2016,39
20/11/2016,0
21/11/2016,0
22/11/2016,0
23/11/2016,0
24/11/2016,23
25/11/2016,0
26/11/2016,0
27/11/2016,33
28/11/2016,0
29/11/2016,0
30/11/2016,51
01/12/2016,0
02/12/2016,52
03/12/2016,0
04/12/2016,24
05/12/2016,0
06/12/2016,0
07/12/2016,0
08/12/2016,0
09/12/2016,0
10/12/2016,0
11/12/2016,0
12/12/2016,0
13/12/2016,38
14/12/2016,0
15/12/2016,0
16/12/2016,0
17/12/2016,0
18/12/2016,0
19/12/2016,0
20/12/2016,23
21/12/2016,25
22/12/2016,0
23/12/2016,29
24/12/2016,35
25/12/2016,0
26/12/2016,0
27/12/2016,53
28/12/2016,0
29/12/2016,0
30/12/2016,0
31/12/2016,0
01/01/2017,0
02/01/2017,0
03/01/2017,23
04/01/2017,0
05/01/2017,0
06/01/2017,0
07/01/2017,0
08/01/2017,0
09/01/2017,0
10/01/2017,45
11/01/2017,23
12/01/2017,0
13/01/2017,0
14/01/2017,0
15/01/2017,0
16/01/2017,0
17/01/2017,0
18/01/2017,22
19/01/2017,0
20/01/2017,0
21/01/2017,0
22/01/2017,0
23/01/2017,0
24/01/2017,0
25/01/2017,0
26/01/2017,0
27/01/2017,39
28/01/2017,100
29/01/2017,24
30/01/2017,0
31/01/2017,0
01/02/2017,48
02/02/2017,0
03/02/2017,0
04/02/2017,0
05/02/2017,0
06/02/2017,0
07/02/2017,0
08/02/2017,0
09/02/2017,0
10/02/2017,0
11/02/2017,0
12/02/2017,35
13/02/2017,0
14/02/2017,22
15/02/2017,0
16/02/2017,0
17/02/2017,0
18/02/2017,50
19/02/2017,31
20/02/2017,0
21/02/2017,0
22/02/2017,0
23/02/2017,0
24/02/2017,0
25/02/2017,0
26/02/2017,0
27/02/2017,0
28/02/2017,0
01/03/2017,52
02/03/2017,0
03/03/2017,0
04/03/2017,0
05/03/2017,27
06/03/2017,0
07/03/2017,0
08/03/2017,0
09/03/2017,25
10/03/2017,0
11/03/2017,56
12/03/2017,22
13/03/2017,22
14/03/2017,36
15/03/2017,0
16/03/2017,24
17/03/2017,38
18/03/2017,0
19/03/2017,0
20/03/2017,0
21/03/2017,0
22/03/2017,0
23/03/2017,87
24/03/2017,0
25/03/2017,0
26/03/2017,0
27/03/2017,0
28/03/2017,0
29/03/2017,0
30/03/2017,0
31/03/2017,0
01/04/2017,0
02/04/2017,40
03/04/2017,25
04/04/2017,0
05/04/2017,24
06/04/2017,0
07/04/2017,45
08/04/2017,0
09/04/2017,0
10/04/2017,0
11/04/2017,0
12/04/2017,24
13/04/2017,0
14/04/2017,0
15/04/2017,0
16/04/2017,0
17/04/2017,45
18/04/2017,25
19/04/2017,0
20/04/2017,27
21/04/2017,0
22/04/2017,0
23/04/2017,0
24/04/2017,0
25/04/2017,0
26/04/2017,0
27/04/2017,0
28/04/2017,56
29/04/2017,0
30/04/2017,0
01/05/2017,44
02/05/2017,0
03/05/2017,0
04/05/2017,0
05/05/2017,0
06/05/2017,0
07/05/2017,0
08/05/2017,0
09/05/2017,0
10/05/2017,0
11/05/2017,34
12/05/2017,0
13/05/2017,56
14/05/2017,0
15/05/2017,0
16/05/2017,0
17/05/2017,0
18/05/2017,0
19/05/2017,0
20/05/2017,0
21/05/2017,0
22/05/2017,0
23/05/2017,0
24/05/2017,0
25/05/2017,0
26/05/2017,0
27/05/2017,0
28/05/2017,0
29/05/2017,0
30/05/2017,0
31/05/2017,35
01/06/2017,66
02/06/2017,0
03/06/2017,0
04/06/2017,0
05/06/2017,39
06/06/2017,0
07/06/2017,31
08/06/2017,0
09/06/2017,0
10/06/2017,76
11/06/2017,0
12/06/2017,0
13/06/2017,0
14/06/2017,0
15/06/2017,0
16/06/2017,0
17/06/2017,0
18/06/2017,0
19/06/2017,0
20/06/2017,0
21/06/2017,0
22/06/2017,34
23/06/2017,36
24/06/2017,43
25/06/2017,0
26/06/2017,54
27/06/2017,35
28/06/2017,0
29/06/2017,0
30/06/2017,56
01/07/2017,37
02/07/2017,0
03/07/2017,0
04/07/2017,59
05/07/2017,0
06/07/2017,0
07/07/2017,0
08/07/2017,39
09/07/2017,92
10/07/2017,0
11/07/2017,26
12/07/2017,0
13/07/2017,0
14/07/2017,0
15/07/2017,0
16/07/2017,0
17/07/2017,0
18/07/2017,0
19/07/2017,0
20/07/2017,0
21/07/2017,0
22/07/2017,94
23/07/2017,0
24/07/2017,0
25/07/2017,0
26/07/2017,0
27/07/2017,20
28/07/2017,0
29/07/2017,0
30/07/2017,0
31/07/2017,0
01/08/2017,0
02/08/2017,0
03/08/2017,0
04/08/2017,0
05/08/2017,66
06/08/2017,0
07/08/2017,0
08/08/2017,0
09/08/2017,0
10/08/2017,42
11/08/2017,0
12/08/2017,0
13/08/2017,40
14/08/2017,0
15/08/2017,0
16/08/2017,0
17/08/2017,37
18/08/2017,25
19/08/2017,0
20/08/2017,34
21/08/2017,0
22/08/2017,0
23/08/2017,0
24/08/2017,38
25/08/2017,28
26/08/2017,0
27/08/2017,0
28/08/2017,0
29/08/2017,27
30/08/2017,0
31/08/2017,45
01/09/2017,0
02/09/2017,0
03/09/2017,0
04/09/2017,0
05/09/2017,0
06/09/2017,0
07/09/2017,0
08/09/2017,28
09/09/2017,0
10/09/2017,0
11/09/2017,0
12/09/2017,35
13/09/2017,0
14/09/2017,19
15/09/2017,0
16/09/2017,100
17/09/2017,26
18/09/2017,0
19/09/2017,0
20/09/2017,0
21/09/2017,20
22/09/2017,23
23/09/2017,0
24/09/2017,59
25/09/2017,0
26/09/2017,0
27/09/2017,0
28/09/2017,0
29/09/2017,0
30/09/2017,0
01/10/2017,0
02/10/2017,32
03/10/2017,0
04/10/2017,0
05/10/2017,0
06/10/2017,0
07/10/2017,0
08/10/2017,0
09/10/2017,0
10/10/2017,62
11/10/2017,35
12/10/2017,0
13/10/2017,0
14/10/2017,0
15/10/2017,43
16/10/2017,0
17/10/2017,0
18/10/2017,0
19/10/2017,0
20/10/2017,0
21/10/2017,72
22/10/2017,0
23/10/2017,0
24/10/2017,0
25/10/2017,27
26/10/2017,0
27/10/2017,0
28/10/2017,0
29/10/2017,0
30/10/2017,0
31/10/2017,0
01/11/2017,32
02/11/2017,72
03/11/2017,0
04/11/2017,0
05/11/2017,0
06/11/2017,0
07/11/2017,32
08/11/2017,0
09/11/2017,0
10/11/2017,0
11/11/2017,0
12/11/2017,0
13/11/2017,0
14/11/2017,0
15/11/2017,0
16/11/2017,0
17/11/2017,0
18/11/2017,0
19/11/2017,55
20/11/2017,0
21/11/2017,0
22/11/2017,21
23/11/2017,39
24/11/2017,30
25/11/2017,0
26/11/2017,0
27/11/2017,0
28/11/2017,66
29/11/2017,0
30/11/2017,0
01/12/2017,0
02/12/2017,0
03/12/2017,0
04/12/2017,0
05/12/2017,28
06/12/2017,19
07/12/2017,50
08/12/2017,0
09/12/2017,0
10/12/2017,0
11/12/2017,0
12/12/2017,83
13/12/2017,0
14/12/2017,0
15/12/2017,0
16/12/2017,0
17/12/2017,0
18/12/2017,0
19/12/2017,0
20/12/2017,36
21/12/2017,0
22/12/2017,0
23/12/2017,36
24/12/2017,0
25/12/2017,29
26/12/2017,0
27/12/2017,0
28/12/2017,0
29/12/2017,0
30/12/2017,0
31/12/2017,84
01/01/2018,0
02/01/2018,42
03/01/2018,30
04/01/2018,0
05/01/2018,0
06/01/2018,0
07/01/2018,0
08/01/2018,0
09/01/2018,0
10/01/2018,0
11/01/2018,26
12/01/2018,0
13/01/2018,46
14/01/2018,0
15/01/2018,0
16/01/2018,0
17/01/2018,0
18/01/2018,46
19/01/2018,0
20/01/2018,0
21/01/2018,0
22/01/2018,0
23/01/2018,46
24/01/2018,0
25/01/2018,0
26/01/2018,39
27/01/2018,0
28/01/2018,0
29/01/2018,0
30/01/2018,0
31/01/2018,58
01/02/2018,58
02/02/2018,0
03/02/2018,46
04/02/2018,0
05/02/2018,0
06/02/2018,0
07/02/2018,0
08/02/2018,0
09/02/2018,0
10/02/2018,48
11/02/2018,31
12/02/2018,36
13/02/2018,26
14/02/2018,0
15/02/2018,40
16/02/2018,0
17/02/2018,0
18/02/2018,36
19/02/2018,0
20/02/2018,0
21/02/2018,0
22/02/2018,0
23/02/2018,45
24/02/2018,0
25/02/2018,0
26/02/2018,0
27/02/2018,30
28/02/2018,0
01/03/2018,0
02/03/2018,81
03/03/2018,0
04/03/2018,0
05/03/2018,0
06/03/2018,0
07/03/2018,0
08/03/2018,0
09/03/2018,0
10/03/2018,0
11/03/2018,0
12/03/2018,0
13/03/2018,0
14/03/2018,0
15/03/2018,0
16/03/2018,0
17/03/2018,0
18/03/2018,29
19/03/2018,0
20/03/2018,0
21/03/2018,0
22/03/2018,0
23/03/2018,0
24/03/2018,0
25/03/2018,0
26/03/2018,0
27/03/2018,0
28/03/2018,0
29/03/2018,0
30/03/2018,0
31/03/2018,0
01/04/2018,0
02/04/2018,0
03/04/2018,0
04/04/2018,54
05/04/2018,0
06/04/2018,29
07/04/2018,0
08/04/2018,29
09/04/2018,0
10/04/2018,0
11/04/2018,0
12/04/2018,0
13/04/2018,0
14/04/2018,73
15/04/2018,30
16/04/2018,0
17/04/2018,0
18/04/2018,40
19/04/2018,0
20/04/2018,0
21/04/2018,0
22/04/2018,0
23/04/2018,0
24/04/2018,0
25/04/2018,0
26/04/2018,41
27/04/2018,0
28/04/2018,100
29/04/2018,0
30/04/2018,57
01/05/2018,0
02/05/2018,0
03/05/2018,0
04/05/2018,0
05/05/2018,0
06/05/2018,38
07/05/2018,42
08/05/2018,0
09/05/2018,0
10/05/2018,75
11/05/2018,0
12/05/2018,0
13/05/2018,0
14/05/2018,0
15/05/2018,0
16/05/2018,0
17/05/2018,38
18/05/2018,32
19/05/2018,0
20/05/2018,0
21/05/2018,0
22/05/2018,0
23/05/2018,0
24/05/2018,0
25/05/2018,0
26/05/2018,0
27/05/2018,0
28/05/2018,0
29/05/2018,0
30/05/2018,0
31/05/2018,0
01/06/2018,0
02/06/2018,0
03/06/2018,0
04/06/2018,40
05/06/2018,40
06/06/2018,0
07/06/2018,0
08/06/2018,0
09/06/2018,0
10/06/2018,33
11/06/2018,34
12/06/2018,54
13/06/2018,0
14/06/2018,0
15/06/2018,0
16/06/2018,0
17/06/2018,0
18/06/2018,0
19/06/2018,0
20/06/2018,0
21/06/2018,0
22/06/2018,0
23/06/2018,47
24/06/2018,0
25/06/2018,47
26/06/2018,0
27/06/2018,0
28/06/2018,0
29/06/2018,0
30/06/2018,0
01/07/2018,0
02/07/2018,33
03/07/2018,0
04/07/2018,0
05/07/2018,0
06/07/2018,0
07/07/2018,0
08/07/2018,32
09/07/2018,0
10/07/2018,0
11/07/2018,46
12/07/2018,0
13/07/2018,0
14/07/2018,69
15/07/2018,0
16/07/2018,0
17/07/2018,0
18/07/2018,36
19/07/2018,0
20/07/2018,0
21/07/2018,0
22/07/2018,34
23/07/2018,45
24/07/2018,0
25/07/2018,35
26/07/2018,0
27/07/2018,0
28/07/2018,0
29/07/2018,94
30/07/2018,0
31/07/2018,0
01/08/2018,0
02/08/2018,0
03/08/2018,0
04/08/2018,0
05/08/2018,0
06/08/2018,0
07/08/2018,0
08/08/2018,61
09/08/2018,66
10/08/2018,0
11/08/2018,0
12/08/2018,0
13/08/2018,0
14/08/2018,0
15/08/2018,0
16/08/2018,0
17/08/2018,0
18/08/2018,0
19/08/2018,0
20/08/2018,0
21/08/2018,0
22/08/2018,0
23/08/2018,0
24/08/2018,0
25/08/2018,0
26/08/2018,0
27/08/2018,64
28/08/2018,0
29/08/2018,85
30/08/2018,0
31/08/2018,0
01/09/2018,0
02/09/2018,0
03/09/2018,46
04/09/2018,0
05/09/2018,38
06/09/2018,0
07/09/2018,0
08/09/2018,0
09/09/2018,62
10/09/2018,0
11/09/2018,0
12/09/2018,0
13/09/2018,0
14/09/2018,0
15/09/2018,0
16/09/2018,0
17/09/2018,0
18/09/2018,0
19/09/2018,0
20/09/2018,0
21/09/2018,0
22/09/2018,0
23/09/2018,0
24/09/2018,0
25/09/2018,0
26/09/2018,32
27/09/2018,0
28/09/2018,0
29/09/2018,0
30/09/2018,0
01/10/2018,0
02/10/2018,45
03/10/2018,42
04/10/2018,0
05/10/2018,39
06/10/2018,29
07/10/2018,0
08/10/2018,33
09/10/2018,41
10/10/2018,0
11/10/2018,58
12/10/2018,0
13/10/2018,0
14/10/2018,0
15/10/2018,0
16/10/2018,0
17/10/2018,0
18/10/2018,0
19/10/2018,0
20/10/2018,0
21/10/2018,0
22/10/2018,0
23/10/2018,0
24/10/2018,0
25/10/2018,0
26/10/2018,0
27/10/2018,0
28/10/2018,94
29/10/2018,0
30/10/2018,0
31/10/2018,0
01/11/2018,0
02/11/2018,0
03/11/2018,0
04/11/2018,0
05/11/2018,0
06/11/2018,0
07/11/2018,0
08/11/2018,0
09/11/2018,0
10/11/2018,0
11/11/2018,0
12/11/2018,65
13/11/2018,30
14/11/2018,50
15/11/2018,0
16/11/2018,0
17/11/2018,0
18/11/2018,40
19/11/2018,0
20/11/2018,0
21/11/2018,0
22/11/2018,0
23/11/2018,37
24/11/2018,100
25/11/2018,69
26/11/2018,0
27/11/2018,0
28/11/2018,0
29/11/2018,0
30/11/2018,0
01/12/2018,0
02/12/2018,0
03/12/2018,0
04/12/2018,0
05/12/2018,0
06/12/2018,38
07/12/2018,44
08/12/2018,0
09/12/2018,46
10/12/2018,0
11/12/2018,0
12/12/2018,0
13/12/2018,26
14/12/2018,0
15/12/2018,0
16/12/2018,0
17/12/2018,0
18/12/2018,0
19/12/2018,0
20/12/2018,56
21/12/2018,0
22/12/2018,0
23/12/2018,42
24/12/2018,0
25/12/2018,0
26/12/2018,0
27/12/2018,61
28/12/2018,0
29/12/2018,0
30/12/2018,0
31/12/2018,0
