date,wizardingworld
2017/7/15,77
2017/7/16,74
2017/7/17,64
2017/7/18,70
2017/7/19,48
2017/7/20,40
2017/7/21,86
2017/7/22,69
2017/7/23,81
2017/7/24,54
2017/7/25,73
2017/7/26,66
2017/7/27,84
2017/7/28,64
2017/7/29,94
2017/7/30,94
2017/7/31,76
2017/8/1,72
2017/8/2,56
2017/8/3,74
2017/8/4,57
2017/8/5,28
2017/8/6,78
2017/8/7,54
2017/8/8,52
2017/8/9,60
2017/8/10,53
2017/8/11,42
2017/8/12,69
2017/8/13,75
2017/8/14,60
2017/8/15,53
2017/8/16,48
2017/8/17,27
2017/8/18,63
2017/8/19,65
2017/8/20,49
2017/8/21,34
2017/8/22,42
2017/8/23,75
2017/8/24,49
2017/8/25,52
2017/8/26,48
2017/8/27,57
2017/8/28,52
2017/8/29,50
2017/8/30,49
2017/8/31,64
2017/9/1,25
2017/9/2,70
2017/9/3,80
2017/9/4,51
2017/9/5,29
2017/9/6,53
2017/9/7,35
2017/9/8,62
2017/9/9,44
2017/9/10,75
2017/9/11,52
2017/9/12,41
2017/9/13,51
2017/9/14,40
2017/9/15,46
2017/9/16,40
2017/9/17,67
2017/9/18,41
2017/9/19,45
2017/9/20,43
2017/9/21,56
2017/9/22,63
2017/9/23,37
2017/9/24,72
2017/9/25,37
2017/9/26,56
2017/9/27,64
2017/9/28,51
2017/9/29,52
2017/9/30,71
2017/10/1,62
2017/10/2,42
2017/10/3,53
2017/10/4,42
2017/10/5,52
2017/10/6,40
2017/10/7,64
2017/10/8,33
2017/10/9,49
2017/10/10,46
2017/10/11,56
2017/10/12,53
2017/10/13,60
2017/10/14,65
2017/10/15,65
2017/10/16,33
2017/10/17,57
2017/10/18,57
2017/10/19,42
2017/10/20,41
2017/10/21,39
2017/10/22,60
2017/10/23,63
2017/10/24,51
2017/10/25,43
2017/10/26,41
2017/10/27,31
2017/10/28,52
2017/10/29,87
2017/10/30,46
2017/10/31,34
2017/11/1,41
2017/11/2,42
2017/11/3,51
2017/11/4,63
2017/11/5,68
2017/11/6,45
2017/11/7,45
2017/11/8,59
2017/11/9,58
2017/11/10,56
2017/11/11,65
2017/11/12,84
2017/11/13,65
2017/11/14,62
