date,pottermore
2017-09-18,33
2017-09-19,38
2017-09-20,38
2017-09-21,34
2017-09-22,45
2017-09-23,49
2017-09-24,78
2017-09-25,64
2017-09-26,43
2017-09-27,40
2017-09-28,39
2017-09-29,41
2017-09-30,51
2017-10-01,48
2017-10-02,49
2017-10-03,47
2017-10-04,43
2017-10-05,37
2017-10-06,41
2017-10-07,51
2017-10-08,50
2017-10-09,40
2017-10-10,38
2017-10-11,37
2017-10-12,38
2017-10-13,39
2017-10-14,50
2017-10-15,48
2017-10-16,39
2017-10-17,39
2017-10-18,41
2017-10-19,39
2017-10-20,48
2017-10-21,50
2017-10-22,48
2017-10-23,39
2017-10-24,39
2017-10-25,43
2017-10-26,42
2017-10-27,38
2017-10-28,51
2017-10-29,48
2017-10-30,39
2017-10-31,47
2017-11-01,47
2017-11-02,36
2017-11-03,44
2017-11-04,48
2017-11-05,45
2017-11-06,36
2017-11-07,39
2017-11-08,37
2017-11-09,40
2017-11-10,42
2017-11-11,48
2017-11-12,47
2017-11-13,33
2017-11-14,34
2017-11-15,36
2017-11-16,46
2017-11-17,43
2017-11-18,48
2017-11-19,50
2017-11-20,36
2017-11-21,38
2017-11-22,35
2017-11-23,42
2017-11-24,40
2017-11-25,47
2017-11-26,47
2017-11-27,36
2017-11-28,37
2017-11-29,38
2017-11-30,34
2017-12-01,40
2017-12-02,60
2017-12-03,100
2017-12-04,48
2017-12-05,45
2017-12-06,46
2017-12-07,42
2017-12-08,44
2017-12-09,47
2017-12-10,62
2017-12-11,57
2017-12-12,50
2017-12-13,43
2017-12-14,44
2017-12-15,43
2017-12-16,52
2017-12-17,51
2017-12-18,41
2017-12-19,40
2017-12-20,42
2017-12-21,42
2017-12-22,43
2017-12-23,49
2017-12-24,58
2017-12-25,78
2017-12-26,57
2017-12-27,51
2017-12-28,54
2017-12-29,55
2017-12-30,55
2017-12-31,58
2018-01-01,100
2018-01-02,70
2018-01-03,73
2018-01-04,70
2018-01-05,72
2018-01-06,82
2018-01-07,80
2018-01-08,61
2018-01-09,65
2018-01-10,70
2018-01-11,65
2018-01-12,66
2018-01-13,78
2018-01-14,70
2018-01-15,62
2018-01-16,69
2018-01-17,63
2018-01-18,71
2018-01-19,70
2018-01-20,78
2018-01-21,80
2018-01-22,59
2018-01-23,60
2018-01-24,66
2018-01-25,56
2018-01-26,65
2018-01-27,77
2018-01-28,86
2018-01-29,66
2018-01-30,59
2018-01-31,57
2018-02-01,64
2018-02-02,64
2018-02-03,75
2018-02-04,74
2018-02-05,55
2018-02-06,51
2018-02-07,53
2018-02-08,53
2018-02-09,54
2018-02-10,64
2018-02-11,59
2018-02-12,58
2018-02-13,56
2018-02-14,58
2018-02-15,51
2018-02-16,53
2018-02-17,64
2018-02-18,68
2018-02-19,51
2018-02-20,53
2018-02-21,50
2018-02-22,49
2018-02-23,60
2018-02-24,62
2018-02-25,61
2018-02-26,53
2018-02-27,47
2018-02-28,47
2018-03-01,56
2018-03-02,60
2018-03-03,65
2018-03-04,58
2018-03-05,47
2018-03-06,52
2018-03-07,52
2018-03-08,51
2018-03-09,58
2018-03-10,67
2018-03-11,65
2018-03-12,48
2018-03-13,60
2018-03-14,63
2018-03-15,63
2018-03-16,63
2018-03-17,63
2018-03-18,62
2018-03-19,54
2018-03-20,55
2018-03-21,59
2018-03-22,60
2018-03-23,61
2018-03-24,56
2018-03-25,65
2018-03-26,47
2018-03-27,51
2018-03-28,57
2018-03-29,56
2018-03-30,66
2018-03-31,65
2018-04-01,61
2018-04-02,68
2018-04-03,57
2018-04-04,58
2018-04-05,54
2018-04-06,60
2018-04-07,65
2018-04-08,65
2018-04-09,48
2018-04-10,45
2018-04-11,51
2018-04-12,45
2018-04-13,51
2018-04-14,57
2018-04-15,55
2018-04-16,45
2018-04-17,48
2018-04-18,46
2018-04-19,45
2018-04-20,52
2018-04-21,58
2018-04-22,54
2018-04-23,47
2018-04-24,53
2018-04-25,78
2018-04-26,92
2018-04-27,93
2018-04-28,89
2018-04-29,100
2018-04-30,79
2018-05-01,84
2018-05-02,79
2018-05-03,72
2018-05-04,76
2018-05-05,80
2018-05-06,75
2018-05-07,64
2018-05-08,68
2018-05-09,58
2018-05-10,65
2018-05-11,64
2018-05-12,73
2018-05-13,65
2018-05-14,54
2018-05-15,48
2018-05-16,49
2018-05-17,47
2018-05-18,51
2018-05-19,55
2018-05-20,56
2018-05-21,45
2018-05-22,47
2018-05-23,45
2018-05-24,51
2018-05-25,47
2018-05-26,55
2018-05-27,59
2018-05-28,50
2018-05-29,49
2018-05-30,44
2018-05-31,50
2018-06-01,51
2018-06-02,62
2018-06-03,62
2018-06-04,46
2018-06-05,46
2018-06-06,48
2018-06-07,45
2018-06-08,45
2018-06-09,52
2018-06-10,52
2018-06-11,41
2018-06-12,41
2018-06-13,41
2018-06-14,42
2018-06-15,49
2018-06-16,54
2018-06-17,47
2018-06-18,45
2018-06-19,41
2018-06-20,43
2018-06-21,41
2018-06-22,41
2018-06-23,47
2018-06-24,49
2018-06-25,39
2018-06-26,38
2018-06-27,37
2018-06-28,42
2018-06-29,50
2018-06-30,49
2018-07-01,41
2018-07-02,33
2018-07-03,31
2018-07-04,31
2018-07-05,38
2018-07-06,28
2018-07-07,33
2018-07-08,40
2018-07-09,32
2018-07-10,34
2018-07-11,33
2018-07-12,33
2018-07-13,33
2018-07-14,46
2018-07-15,45
2018-07-16,43
2018-07-17,38
2018-07-18,39
2018-07-19,35
2018-07-20,34
2018-07-21,43
2018-07-22,47
2018-07-23,43
2018-07-24,42
2018-07-25,44
2018-07-26,39
2018-07-27,43
2018-07-28,49
2018-07-29,49
2018-07-30,44
2018-07-31,51
2018-08-01,56
2018-08-02,59
2018-08-03,65
2018-08-04,63
2018-08-05,62
2018-08-06,43
2018-08-07,46
2018-08-08,43
2018-08-09,45
2018-08-10,43
2018-08-11,52
2018-08-12,48
2018-08-13,42
2018-08-14,40
2018-08-15,41
2018-08-16,38
2018-08-17,44
2018-08-18,43
2018-08-19,44
2018-08-20,38
2018-08-21,41
2018-08-22,44
2018-08-23,41
2018-08-24,43
2018-08-25,48
2018-08-26,51
2018-08-27,36
2018-08-28,37
2018-08-29,35
2018-08-30,36
2018-08-31,41
2018-09-01,51
2018-09-02,57
2018-09-03,48
2018-09-04,44
2018-09-05,42
2018-09-06,38
2018-09-07,40
2018-09-08,52
2018-09-09,50
2018-09-10,38
2018-09-11,37
2018-09-12,37
2018-09-13,37
2018-09-14,34
2018-09-15,48
2018-09-16,45
2018-09-17,33
2018-09-18,34
2018-09-19,34
2018-09-20,34
2018-09-21,37
2018-09-22,44
2018-09-23,46
2018-09-24,35
2018-09-25,40
2018-09-26,43
2018-09-27,42
2018-09-28,46
2018-09-29,51
2018-09-30,49
2018-10-01,36
2018-10-02,36
2018-10-03,42
2018-10-04,40
2018-10-05,45
2018-10-06,51
2018-10-07,49
2018-10-08,38
2018-10-09,36
2018-10-10,41
2018-10-11,38
2018-10-12,40
2018-10-13,44
2018-10-14,52
2018-10-15,43
2018-10-16,40
2018-10-17,39
2018-10-18,38
2018-10-19,41
2018-10-20,52
2018-10-21,51
2018-10-22,41
2018-10-23,38
2018-10-24,41
2018-10-25,44
2018-10-26,43
2018-10-27,45
2018-10-28,47
2018-10-29,40
2018-10-30,37
2018-10-31,44
2018-11-01,43
2018-11-02,45
2018-11-03,49
2018-11-04,48
2018-11-05,39
2018-11-06,38
2018-11-07,40
2018-11-08,45
2018-11-09,43
2018-11-10,55
2018-11-11,56
2018-11-12,46
2018-11-13,48
2018-11-14,55
2018-11-15,59
2018-11-16,68
2018-11-17,92
2018-11-18,100
2018-11-19,78
2018-11-20,70
2018-11-21,64
2018-11-22,76
2018-11-23,74
2018-11-24,81
2018-11-25,81
2018-11-26,59
2018-11-27,61
2018-11-28,57
2018-11-29,57
2018-11-30,60
2018-12-01,64
2018-12-02,66
2018-12-03,50
2018-12-04,49
2018-12-05,47
2018-12-06,48
2018-12-07,52
2018-12-08,56
2018-12-09,59
2018-12-10,46
2018-12-11,47
2018-12-12,45
2018-12-13,43
2018-12-14,51
2018-12-15,58
2018-12-16,56
2018-12-17,43
2018-12-18,45
2018-12-19,49
2018-12-20,47
2018-12-21,50
2018-12-22,54
2018-12-23,68
2018-12-24,60
2018-12-25,77
2018-12-26,66
2018-12-27,60
2018-12-28,62
2018-12-29,60
2018-12-30,60
2018-12-31,59
