,date,searches
116,2018-10-25,66
117,2018-10-26,65
118,2018-10-27,73
119,2018-10-28,73
120,2018-10-29,70
121,2018-10-30,62
122,2018-10-31,70
123,2018-11-01,72
124,2018-11-02,70
125,2018-11-03,72
126,2018-11-04,71
127,2018-11-05,66
128,2018-11-06,63
129,2018-11-07,63
130,2018-11-08,62
131,2018-11-09,64
132,2018-11-10,73
133,2018-11-11,80
134,2018-11-12,67
135,2018-11-13,67
136,2018-11-14,74
137,2018-11-15,78
138,2018-11-16,83
139,2018-11-17,93
140,2018-11-18,100
141,2018-11-19,91
142,2018-11-20,84
143,2018-11-21,84
144,2018-11-22,86
145,2018-11-23,84
146,2018-11-24,88
147,2018-11-25,95
148,2018-11-26,80
149,2018-11-27,80
150,2018-11-28,82
151,2018-11-29,77
152,2018-11-30,79
153,2018-12-01,83
154,2018-12-02,84
155,2018-12-03,71
156,2018-12-04,71
157,2018-12-05,71
158,2018-12-06,64
159,2018-12-07,66
160,2018-12-08,72
161,2018-12-09,77
162,2018-12-10,72
163,2018-12-11,69
164,2018-12-12,67
165,2018-12-13,65
166,2018-12-14,67
167,2018-12-15,74
168,2018-12-16,71
169,2018-12-17,71
170,2018-12-18,64
171,2018-12-19,64
172,2018-12-20,63
173,2018-12-21,64
174,2018-12-22,67
175,2018-12-23,68
176,2018-12-24,70
177,2018-12-25,72
178,2018-12-26,75
179,2018-12-27,73
180,2018-12-28,73
181,2018-12-29,74
182,2018-12-30,70
183,2018-12-31,65
0,2019-01-01,94
1,2019-01-02,99
2,2019-01-03,93
3,2019-01-04,97
4,2019-01-05,98
5,2019-01-06,98
6,2019-01-07,87
7,2019-01-08,85
8,2019-01-09,88
9,2019-01-10,84
10,2019-01-11,86
11,2019-01-12,99
12,2019-01-13,100
13,2019-01-14,90
14,2019-01-15,88
15,2019-01-16,87
16,2019-01-17,81
17,2019-01-18,86
18,2019-01-19,99
19,2019-01-20,96
20,2019-01-21,86
21,2019-01-22,83
22,2019-01-23,84
23,2019-01-24,80
24,2019-01-25,80
25,2019-01-26,91
26,2019-01-27,90
27,2019-01-28,83
28,2019-01-29,84
29,2019-01-30,83
30,2019-01-31,80
31,2019-02-01,79
32,2019-02-02,89
33,2019-02-03,84
34,2019-02-04,74
35,2019-02-05,74
36,2019-02-06,72
37,2019-02-07,73
38,2019-02-08,76
39,2019-02-09,85
40,2019-02-10,85
41,2019-02-11,74
42,2019-02-12,73
43,2019-02-13,71
44,2019-02-14,67
45,2019-02-15,72
46,2019-02-16,79
47,2019-02-17,79
48,2019-02-18,81
49,2019-02-19,69
50,2019-02-20,71
51,2019-02-21,71
52,2019-02-22,74
53,2019-02-23,76
54,2019-02-24,77
55,2019-02-25,71
56,2019-02-26,63
57,2019-02-27,67
58,2019-02-28,66
59,2019-03-01,66
60,2019-03-02,78
61,2019-03-03,77
62,2019-03-04,74
63,2019-03-05,71
64,2019-03-06,69
65,2019-03-07,70
66,2019-03-08,78
67,2019-03-09,82
68,2019-03-10,79
69,2019-03-11,73
70,2019-03-12,69
71,2019-03-13,70
72,2019-03-14,73
73,2019-03-15,75
74,2019-03-16,79
75,2019-03-17,76
76,2019-03-18,71
77,2019-03-19,70
78,2019-03-20,69
79,2019-03-21,64
80,2019-03-22,70
81,2019-03-23,71
82,2019-03-24,63
83,2019-03-25,58
84,2019-03-26,70
85,2019-03-27,70
86,2019-03-28,72
87,2019-03-29,69
88,2019-03-30,78
89,2019-03-31,80
90,2019-04-01,67
91,2019-04-02,69
92,2019-04-03,71
93,2019-04-04,70
94,2019-04-05,73
95,2019-04-06,77
96,2019-04-07,79
97,2019-04-08,71
98,2019-04-09,70
99,2019-04-10,73
100,2019-04-11,72
101,2019-04-12,73
102,2019-04-13,82
103,2019-04-14,80
104,2019-04-15,81
105,2019-04-16,72
106,2019-04-17,74
107,2019-04-18,76
108,2019-04-19,79
109,2019-04-20,81
110,2019-04-21,80
111,2019-04-22,81
112,2019-04-23,77
113,2019-04-24,73
114,2019-04-25,71
115,2019-04-26,72
116,2019-04-27,79
117,2019-04-28,74
118,2019-04-29,65
119,2019-04-30,64
120,2019-05-01,70
121,2019-05-02,67
122,2019-05-03,70
123,2019-05-04,75
124,2019-05-05,73
125,2019-05-06,66
126,2019-05-07,65
127,2019-05-08,65
128,2019-05-09,62
129,2019-05-10,68
130,2019-05-11,72
131,2019-05-12,75
132,2019-05-13,64
133,2019-05-14,63
134,2019-05-15,64
135,2019-05-16,60
136,2019-05-17,67
137,2019-05-18,77
138,2019-05-19,72
139,2019-05-20,63
140,2019-05-21,64
141,2019-05-22,63
142,2019-05-23,58
143,2019-05-24,63
144,2019-05-25,68
145,2019-05-26,71
146,2019-05-27,67
147,2019-05-28,65
148,2019-05-29,67
149,2019-05-30,67
150,2019-05-31,67
151,2019-06-01,66
152,2019-06-02,66
153,2019-06-03,54
154,2019-06-04,77
155,2019-06-05,64
156,2019-06-06,66
157,2019-06-07,69
158,2019-06-08,69
159,2019-06-09,75
160,2019-06-10,74
161,2019-06-11,69
162,2019-06-12,70
163,2019-06-13,69
164,2019-06-14,71
165,2019-06-15,71
166,2019-06-16,73
167,2019-06-17,69
168,2019-06-18,68
169,2019-06-19,73
170,2019-06-20,85
171,2019-06-21,84
172,2019-06-22,85
173,2019-06-23,92
174,2019-06-24,86
175,2019-06-25,85
176,2019-06-26,82
177,2019-06-27,76
178,2019-06-28,73
179,2019-06-29,75
180,2019-06-30,75
0,2019-07-01,95
1,2019-07-02,93
2,2019-07-03,87
3,2019-07-04,89
4,2019-07-05,89
5,2019-07-06,90
6,2019-07-07,97
7,2019-07-08,87
8,2019-07-09,86
9,2019-07-10,89
10,2019-07-11,86
11,2019-07-12,86
12,2019-07-13,85
13,2019-07-14,87
14,2019-07-15,88
15,2019-07-16,86
16,2019-07-17,83
17,2019-07-18,78
18,2019-07-19,82
19,2019-07-20,81
20,2019-07-21,82
21,2019-07-22,87
22,2019-07-23,84
23,2019-07-24,82
24,2019-07-25,88
25,2019-07-26,86
26,2019-07-27,79
27,2019-07-28,86
28,2019-07-29,84
29,2019-07-30,85
30,2019-07-31,87
31,2019-08-01,83
32,2019-08-02,70
33,2019-08-03,85
34,2019-08-04,82
35,2019-08-05,90
36,2019-08-06,83
37,2019-08-07,85
38,2019-08-08,86
39,2019-08-09,85
40,2019-08-10,86
41,2019-08-11,87
42,2019-08-12,94
43,2019-08-13,86
44,2019-08-14,87
45,2019-08-15,84
46,2019-08-16,89
47,2019-08-17,89
48,2019-08-18,91
49,2019-08-19,83
50,2019-08-20,87
51,2019-08-21,86
52,2019-08-22,86
53,2019-08-23,83
54,2019-08-24,84
55,2019-08-25,90
56,2019-08-26,90
57,2019-08-27,85
58,2019-08-28,81
59,2019-08-29,86
60,2019-08-30,82
61,2019-08-31,89
62,2019-09-01,92
63,2019-09-02,88
64,2019-09-03,85
65,2019-09-04,81
66,2019-09-05,83
67,2019-09-06,84
68,2019-09-07,93
69,2019-09-08,97
70,2019-09-09,86
71,2019-09-10,77
72,2019-09-11,73
73,2019-09-12,79
74,2019-09-13,82
75,2019-09-14,88
76,2019-09-15,91
77,2019-09-16,74
78,2019-09-17,72
79,2019-09-18,75
80,2019-09-19,75
81,2019-09-20,78
82,2019-09-21,87
83,2019-09-22,89
84,2019-09-23,77
85,2019-09-24,75
86,2019-09-25,82
87,2019-09-26,77
88,2019-09-27,80
89,2019-09-28,90
90,2019-09-29,93
91,2019-09-30,81
92,2019-10-01,78
93,2019-10-02,81
94,2019-10-03,84
95,2019-10-04,85
96,2019-10-05,91
97,2019-10-06,98
98,2019-10-07,83
99,2019-10-08,86
100,2019-10-09,86
101,2019-10-10,85
102,2019-10-11,87
103,2019-10-12,88
104,2019-10-13,94
105,2019-10-14,87
106,2019-10-15,81
107,2019-10-16,82
108,2019-10-17,79
109,2019-10-18,84
110,2019-10-19,92
111,2019-10-20,94
112,2019-10-21,88
113,2019-10-22,86
114,2019-10-23,79
115,2019-10-24,81
116,2019-10-25,82
117,2019-10-26,90
118,2019-10-27,87
119,2019-10-28,87
120,2019-10-29,88
121,2019-10-30,83
122,2019-10-31,88
123,2019-11-01,92
