date,pottermore,searches
2016-06-09,13,3.912721251983718
2016-06-10,27,6.102656685447871
2016-06-11,37,2.0515219272325522
2016-06-12,29,6.361627185405842
2016-06-13,15,2.0105510711685035
2016-06-14,13,3.9681776058921585
2016-06-15,11,-4.782814750461594
2016-06-16,11,9.259534953624433
2016-06-17,12,-1.3698929405820328
2016-06-18,11,0.1652176033133954
2016-06-19,12,5.2298331801420295
2016-06-20,10,-1.2765092900877004
2016-06-21,10,5.35605264458596
2016-06-22,10,4.043184584693439
2016-06-23,10,11.670737224594484
2016-06-24,11,-9.507132438507856
2016-06-25,13,-0.023541928850150384
2016-06-26,12,3.8536184878720148
2016-06-27,11,1.8893057545353669
2016-06-28,53,-0.7354048848056385
2016-06-29,96,5.39439695069636
2016-06-30,63,6.302363963456254
2016-07-01,13,14.229330632067757
