date,harrypotterwiki,hogwartsishere,jkrowling,harrypotterlexicon,mugglenet,pottermore,wizardingworld
2017-04-10,0,0,0,0,0,22,60
2017-04-11,54,71,35,0,0,19,40
2017-04-12,0,0,0,24,25,22,59
2017-04-13,0,32,22,0,55,23,60
2017-04-14,0,0,0,0,0,23,74
2017-04-15,43,0,0,0,19,24,73
2017-04-16,0,0,0,0,28,24,71
2017-04-17,0,87,0,45,14,20,24
2017-04-18,0,0,31,25,20,17,46
2017-04-19,38,29,0,0,0,19,23
2017-04-20,0,0,0,27,15,18,56
2017-04-21,0,0,23,0,0,20,34
2017-04-22,71,0,26,0,47,24,41
2017-04-23,0,0,0,0,87,23,49
2017-04-24,0,0,0,0,23,20,56
2017-04-25,0,0,0,0,0,19,45
2017-04-26,0,0,0,0,23,18,40
2017-04-27,35,0,0,0,26,19,53
2017-04-28,0,22,28,56,0,21,45
2017-04-29,0,49,35,0,0,26,40
2017-04-30,0,0,0,0,36,30,60
2017-05-01,0,0,0,44,0,24,61
2017-05-02,0,0,0,0,0,20,46
2017-05-03,0,0,0,0,0,20,49
2017-05-04,0,0,0,0,24,20,52
2017-05-05,43,0,0,0,22,21,55
2017-05-06,47,67,0,0,0,22,33
2017-05-07,0,0,0,0,0,21,49
2017-05-08,0,0,0,0,0,19,54
2017-05-09,0,0,0,0,0,17,67
2017-05-10,0,0,0,0,0,17,78
2017-05-11,0,26,0,34,0,19,39
2017-05-12,0,30,0,0,0,20,53
2017-05-13,42,0,32,56,0,20,54
2017-05-14,0,0,0,0,0,21,48
2017-05-15,0,0,0,0,0,16,66
2017-05-16,0,34,0,0,17,17,53
2017-05-17,0,0,0,0,0,15,46
2017-05-18,0,0,0,0,0,16,47
2017-05-19,0,0,49,0,0,18,37
2017-05-20,45,0,0,0,0,20,54
2017-05-21,0,28,0,0,0,20,76
2017-05-22,0,0,0,0,22,15,58
2017-05-23,0,0,0,0,32,16,40
2017-05-24,0,0,0,0,0,17,24
2017-05-25,59,43,22,0,0,16,62
2017-05-26,0,0,0,0,33,17,58
2017-05-27,0,0,0,0,30,20,57
2017-05-28,64,0,0,0,0,22,65
2017-05-29,0,25,0,0,100,20,66
2017-05-30,0,22,0,0,37,19,58
2017-05-31,0,0,0,35,0,20,61
2017-06-01,69,0,0,66,16,18,39
2017-06-02,0,0,0,0,0,19,56
2017-06-03,0,0,21,0,18,21,45
2017-06-04,0,0,0,0,0,22,58
2017-06-05,0,0,0,39,19,18,41
2017-06-06,24,23,49,0,22,20,56
2017-06-07,0,48,0,31,24,23,50
